Ticker,InitialCapital,FinalEquity,TotalReturn,MaxDrawdown,Sharpe,Trades,WinRate,ProfitFactor,BuyHoldReturn
BTC-USD,10000.0,8516.295689576451,-0.14837043104235492,-0.19762291800569676,-0.5885576443851153,49,0.46938775510204084,0.7419283078180529,0.26949749160987646
ETH-USD,10000.0,11049.4518266894,0.10494518266893982,-0.23611037422946968,0.35986870191324954,62,0.5161290322580645,1.2230358512255401,0.04578374802627505
NVDA,10000.0,11619.032761751996,0.1619032761751995,-0.05266985722416295,1.4766359091292716,37,0.6756756756756757,2.2764664122592024,0.850506104967905
AMD,10000.0,12149.71445326258,0.21497144532625811,-0.14689099169133446,0.9439354517516341,31,0.6129032258064516,1.758003541197713,2.3980902739135623
MSTR,10000.0,7562.5851340623085,-0.24374148659376915,-0.3575035435807853,-0.8891229724947852,45,0.5111111111111111,0.6365252929172298,-0.03877507276316117
COIN,10000.0,10678.854882273037,0.06788548822730367,-0.2411967493275199,0.3394312962199649,50,0.58,1.1912295831060475,0.01268081007874744
TSM,10000.0,10904.025755063367,0.09040257550633668,-0.10719287857390047,0.6503266434182986,36,0.5555555555555556,1.6599020059950178,1.4960859634646155
PLTR,10000.0,10795.409112417568,0.07954091124175688,-0.18502634789840222,0.3925976406309883,28,0.5714285714285714,1.2704356035480702,3.7829901972224613
ARM,10000.0,12535.41841916789,0.25354184191678897,-0.1372937542439837,0.9720195866418004,33,0.5757575757575758,2.0115910811788207,0.7829582158500954
SMCI,10000.0,13288.236584735436,0.32882365847354356,-0.16626528359064763,1.1282400799934562,42,0.6428571428571429,1.8535085531239006,-0.16131825061514138
TSLA,10000.0,9143.78430209872,-0.08562156979012803,-0.1517228424635525,-0.45788461697897825,29,0.4827586206896552,0.7587168436825087,0.5714222769352084
META,10000.0,9566.886627649974,-0.04331133723500258,-0.15646966389498174,-0.2356210710536828,40,0.55,0.948415980068423,0.2554258434583463
AMZN,10000.0,9661.591749269475,-0.03384082507305253,-0.1228541141142575,-0.2738271054465802,34,0.5,0.9627348178940162,0.31613870016806866
GOOGL,10000.0,11355.555884773496,0.1355555884773496,-0.07018226765367575,1.345744661457217,24,0.625,2.219010290858365,1.1520837268067758
AAPL,10000.0,10374.412606573533,0.037441260657353315,-0.05382885150047756,0.48513220447963534,46,0.5,1.4049526778360573,0.5333272473668751
MSFT,10000.0,8659.97823650584,-0.13400217634941602,-0.15579502392086197,-1.469950520306512,43,0.5581395348837209,0.5516323225200351,0.12673789422045534
QQQ,10000.0,10662.471220726507,0.06624712207265082,-0.03580045047085456,0.8941819080861391,36,0.6111111111111112,2.331297467054063,0.4883524155479875
GLD,10000.0,9750.733020291265,-0.024926697970873435,-0.1181481903419358,-0.16558960213668278,40,0.6,1.0352594258411445,0.6505435083797331
