Date,Equity,Cash,OpenPositions,Phase
2025-03-06 23:59:59,10000.0,10000.0,0,INITIAL
2025-03-07 00:00:00,10000.0,10000.0,0,EOD
2025-03-08 00:00:00,10000.0,10000.0,0,EOD
2025-03-09 00:00:00,9736.560730953332,6000.0,1,EOD
2025-03-10 00:00:00,9340.111433075805,2143.7429058665757,2,EOD
2025-03-11 00:00:00,9532.902210087988,5691.516452902557,1,EOD
2025-03-12 00:00:00,9526.91820045852,9526.91820045852,0,EOD
2025-03-13 00:00:00,9328.248768469815,2896.0319397479807,2,EOD
2025-03-14 00:00:00,9528.741038792188,2896.0319397479807,2,EOD
2025-03-15 00:00:00,9586.932476971017,2896.0319397479807,2,EOD
2025-03-16 00:00:00,9502.490324183002,5749.483906975169,1,EOD
2025-03-17 00:00:00,9644.843719472778,1921.2922391733314,2,EOD
2025-03-18 00:00:00,9577.317292606405,5818.002251340281,1,EOD
2025-03-19 00:00:00,9765.274026262965,5818.002251340281,1,EOD
2025-03-20 00:00:00,9760.204883815195,9760.204883815195,0,EOD
2025-03-21 00:00:00,9719.291492595068,2931.502847519033,2,EOD
2025-03-22 00:00:00,9731.912599533733,2931.502847519033,2,EOD
2025-03-23 00:00:00,9830.36875001496,5844.608915243661,1,EOD
2025-03-24 00:00:00,9897.275119099282,5844.608915243661,1,EOD
2025-03-25 00:00:00,9896.01479663742,5844.608915243661,1,EOD
2025-03-26 00:00:00,9752.465599561949,1896.778415558078,2,EOD
2025-03-27 00:00:00,9752.233440871507,1896.778415558078,2,EOD
2025-03-28 00:00:00,9615.813539096418,5708.849006744764,1,EOD
2025-03-29 00:00:00,9374.278674189412,5703.26593743768,1,EOD
2025-03-30 00:00:00,9351.246692623165,5621.253228437395,1,EOD
2025-03-31 00:00:00,9360.959211705635,5621.253228437395,1,EOD
2025-04-01 00:00:00,9479.664514257434,5621.253228437395,1,EOD
2025-04-02 00:00:00,9136.381645158799,1878.0148579359902,2,EOD
2025-04-03 00:00:00,9127.0289832222,5565.639223086363,1,EOD
2025-04-04 00:00:00,9126.436603500504,5565.639223086363,1,EOD
2025-04-05 00:00:00,9108.073071570045,5565.639223086363,1,EOD
2025-04-06 00:00:00,8939.909949948822,8939.909949948822,0,EOD
2025-04-07 00:00:00,8885.394474853894,5363.9459699692925,1,EOD
2025-04-08 00:00:00,8563.735498735687,1884.6784559546377,2,EOD
2025-04-09 00:00:00,9282.734301454957,1884.6784559546377,2,EOD
2025-04-10 00:00:00,9271.657313850887,9271.657313850887,0,EOD
2025-04-11 00:00:00,9374.764130475996,5562.994388310532,1,EOD
2025-04-12 00:00:00,9560.539824761401,5562.994388310532,1,EOD
2025-04-13 00:00:00,9496.66901763565,6688.135160413463,1,EOD
2025-04-14 00:00:00,9525.44451024024,6688.135160413463,1,EOD
2025-04-15 00:00:00,9410.646788595493,2889.6821326551203,2,EOD
2025-04-16 00:00:00,9398.288241678194,2889.6821326551203,2,EOD
2025-04-17 00:00:00,9437.597916013827,2889.6821326551203,2,EOD
2025-04-18 00:00:00,9437.568050694386,2889.6821326551203,2,EOD
2025-04-19 00:00:00,9452.664205501289,6597.868897922797,1,EOD
2025-04-20 00:00:00,9456.385782390642,6597.868897922797,1,EOD
2025-04-21 00:00:00,9535.072461176522,6597.868897922797,1,EOD
2025-04-22 00:00:00,9733.852491192563,6597.868897922797,1,EOD
2025-04-23 00:00:00,9728.670727067627,9728.670727067627,0,EOD
2025-04-24 00:00:00,9728.670727067627,9728.670727067627,0,EOD
2025-04-25 00:00:00,9728.670727067627,9728.670727067627,0,EOD
2025-04-26 00:00:00,9728.670727067627,9728.670727067627,0,EOD
2025-04-27 00:00:00,9685.644454071733,5837.2024362405755,1,EOD
2025-04-28 00:00:00,9735.883268942416,5837.2024362405755,1,EOD
2025-04-29 00:00:00,9730.164639046698,9730.164639046698,0,EOD
2025-04-30 00:00:00,9721.06685346428,5838.098783428019,1,EOD
2025-05-01 00:00:00,9815.249277435847,5838.098783428019,1,EOD
2025-05-02 00:00:00,9809.393894887386,9809.393894887386,0,EOD
2025-05-03 00:00:00,9762.56202807128,5885.636336932432,1,EOD
