Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,EntryCost,PnL,Return,Reason
ETH-USD,2025-03-10,2025-03-11,2016.438135131836,1858.847821105957,1.9104979071363468,3856.2570941334243,-308.4835470974431,-0.079995586281512,ML_EXIT
BTC-USD,2025-03-09,2025-03-12,86197.38183984374,82815.9463125,0.04635871664205113,4000.0,-164.59825244403783,-0.04114956311100946,ML_EXIT
ETH-USD,2025-03-13,2025-03-16,1909.9698885498046,1936.4160732421876,1.4750488363383112,2820.1189805271306,33.33298670005752,0.011819709356314814,ML_EXIT
ETH-USD,2025-03-17,2025-03-18,1888.3929433593748,1926.0422344360352,2.025194750691372,3828.1916678018374,68.51834436511217,0.017898357843836924,ML_EXIT
BTC-USD,2025-03-13,2025-03-20,83766.7843359375,86829.51664843751,0.04544708911871134,3810.7672801834083,131.4353522915053,0.034490521889119254,ML_EXIT
ETH-USD,2025-03-21,2025-03-23,1982.8439538574219,1978.9936507568361,1.473487339739192,2924.620082770084,-11.51401504545629,-0.003936926752739341,ML_EXIT
ETH-USD,2025-03-26,2025-03-28,2068.542543457031,2001.4093171997072,1.9065997369310677,3947.8304996855827,-135.7599084988974,-0.0343884846397812,ML_EXIT
BTC-USD,2025-03-21,2025-03-29,84206.62133203124,82303.45965945872,0.04631676001099653,3904.081953526078,-95.8643939933163,-0.024554913327762946,ATR_STOP
ETH-USD,2025-03-29,2025-03-30,1896.497457458496,1826.397379638672,2.0089596288290226,3813.800628839845,-148.31118554853265,-0.03888802797582232,ML_EXIT
BTC-USD,2025-03-30,2025-04-03,82638.28286718749,81480.764070173,0.045302909502077854,3747.5021522915968,-59.87778714122396,-0.015978052768991394,ATR_STOP
ETH-USD,2025-04-02,2025-04-06,1906.437361450195,1721.9637488136943,1.961509571595015,3743.2383705014045,-368.96764363894636,-0.09856910170257828,ATR_STOP
ETH-USD,2025-04-07,2025-04-10,1577.7383040161133,1667.3676813354493,2.2642462358339657,3575.963979979529,195.59168523925428,0.05469621235960379,ML_EXIT
BTC-USD,2025-04-08,2025-04-10,79258.08580078125,82524.69357421875,0.043854052383212855,3479.267514014655,136.15567866281117,0.039133431998077076,ML_EXIT
ETH-USD,2025-04-11,2025-04-13,1523.234258972168,1642.6793480834963,2.4322944686884895,3708.662925540355,282.8214867397746,0.07625969046474271,ML_EXIT
ETH-USD,2025-04-15,2025-04-19,1623.5832365112303,1588.1752416992188,2.337209752722362,3798.453027758343,-90.26626249066612,-0.02376395385990511,ML_EXIT
BTC-USD,2025-04-13,2025-04-23,85322.108484375,93380.87214453125,0.0335607891952343,2866.3436401771983,264.45818896763194,0.09226325317758587,ML_EXIT
BTC-USD,2025-04-27,2025-04-29,94708.23670312499,94934.3684453125,0.041047927380617674,3891.468290827051,1.4939119790706172,0.00038389416729722785,ML_EXIT
BTC-USD,2025-04-30,2025-05-02,94333.61198437499,96446.721265625,0.04121726824588335,3892.065855618679,79.22925584068753,0.020356607205479396,ML_EXIT
BTC-USD,2025-05-03,2025-05-09,96953.08512890624,103187.5054375,0.04043021215039514,3923.7575579549543,243.96328541711455,0.06217593258852292,ML_EXIT
ETH-USD,2025-05-08,2025-05-09,1812.4521599121092,2205.025109741211,1.6634343819592357,3017.913151605687,646.3335144406533,0.21416571053304506,ML_EXIT
BTC-USD,2025-05-13,2025-05-14,102863.89843359374,104115.24446093751,0.041565568355163764,4279.876277898062,43.405423247165345,0.0101417471975341,ML_EXIT
BTC-USD,2025-05-17,2025-05-18,103541.03370703124,103135.3596484375,0.03109594130257997,3222.9288353976954,-19.044836639256573,-0.005909170699050364,ML_EXIT
BTC-USD,2025-05-20,2025-05-21,105658.208953125,106737.91684375,0.04055842829902464,4289.620512541225,35.17251240616952,0.008199446152250161,ML_EXIT
GOOGL,2025-05-27,2025-05-29,170.24508366394042,173.913,12.190936074499225,2077.524456401271,40.517646857588716,0.019502849524945756,ML_EXIT
TSLA,2025-05-27,2025-06-04,347.5236811065674,331.7958067387172,12.371490237143846,4303.689517503693,-202.98574229418045,-0.047165517277352305,ATR_STOP
ETH-USD,2025-05-27,2025-06-05,2565.422939575195,2496.7836723414835,1.704838505403962,4378.009819854268,-125.6534885268702,-0.028701052235431682,ATR_STOP
TSLA,2025-06-05,2025-06-05,322.65123522949216,293.57152342936485,12.696691114542029,4100.703775209513,-377.0442091543373,-0.09194621943524155,ATR_STOP
GOOGL,2025-06-06,2025-06-10,170.91541683197022,176.11189694976807,23.583412390489567,4034.803562603379,114.3626105417652,0.028344034292458825,ML_EXIT
AMZN,2025-06-10,2025-06-11,216.8883887786865,217.30129866027832,19.11129051358109,4149.166173145144,-0.41083371779131994,-9.901597107640074e-05,ML_EXIT
TSLA,2025-06-06,2025-06-16,298.97940156555177,331.1243635406494,13.169038073618466,3941.212334779195,415.0164264397308,0.1053017171334368,ML_EXIT
BTC-USD,2025-06-16,2025-06-18,105608.37154687499,104549.76927734376,0.010995824765455,1162.4135608553565,-13.952229555176245,-0.01200281038093668,ML_EXIT
GOOGL,2025-06-16,2025-06-20,174.81736072540284,167.82604049001424,18.251170089307806,3193.815200363569,-133.85661157565892,-0.04191119497471905,ATR_STOP
ETH-USD,2025-06-18,2025-06-21,2512.0723029785154,2248.7948946695205,0.45671968462393914,1148.4613313001803,-122.4195051178699,-0.10659436393846888,ATR_STOP
GLD,2025-05-29,2025-06-24,305.89286022949216,304.91747232055667,6.917206434854857,2118.0421032588597,-10.974178725062757,-0.0051812845024079915,STOP_GAP
META,2025-06-11,2025-06-25,704.0618769836425,712.9633473205566,5.886707858468833,4148.755339427353,44.054593105340246,0.01061874935999987,ML_EXIT
ETH-USD,2025-06-22,2025-06-27,2299.9921948242186,2414.8151817626954,1.7747514203487194,4086.000414970221,195.4105620690607,0.04782441072524582,ML_EXIT
PLTR,2025-06-25,2025-06-27,144.56225049591063,133.58513575444903,29.282772409951868,4237.420901243446,-329.58951672104104,-0.07778068886768481,ATR_STOP
GOOGL,2025-06-27,2025-06-30,173.62676328277587,180.68960877990725,1.1332218311502655,196.9545932172182,7.602054704842004,0.038598006680950134,ML_EXIT
GLD,2025-06-27,2025-07-01,300.1800137786865,308.4057175598145,13.593083283841056,4084.4563838220633,103.5360355772541,0.025348792066269884,ML_EXIT
AMD,2025-06-25,2025-07-02,141.01047244262693,135.46223377990722,14.611641697077044,2062.456955823044,-85.11065796883099,-0.04126663479135095,ML_EXIT
ETH-USD,2025-06-29,2025-07-03,2438.3333034667967,2569.5112325439454,1.2667236543857296,3091.786259036926,159.8195387778478,0.05169165181154234,ML_EXIT
AAPL,2025-07-01,2025-07-07,206.77333316802978,212.57365267944337,19.69413346841939,4076.2979190401693,105.96951481047745,0.025996508821276167,ML_EXIT
MSFT,2025-07-03,2025-07-07,494.056902557373,497.1313148803711,6.574858432708042,3251.6057978147737,13.693651971866984,0.004211350582862701,ML_EXIT
AMD,2025-07-07,2025-07-10,136.62827755737305,142.9285,30.55273774541548,4178.546479297552,183.94364057121948,0.044020963146529826,ML_EXIT
TSLA,2025-07-02,2025-07-11,312.7863198852539,307.7360696411133,6.3153943314433505,1977.3462978542132,-35.81514269186209,-0.01811273155882111,ML_EXIT
ETH-USD,2025-07-10,2025-07-12,2772.1226733398435,2956.854573364258,0.026246632186310792,72.83171589838184,4.698151042705263,0.0645069388350034,ML_EXIT
AMZN,2025-07-01,2025-07-14,219.60975,224.95747232055666,0.5080958648638734,111.69450035914815,2.4911611356996275,0.022303346428780485,ML_EXIT
MSFT,2025-07-11,2025-07-14,498.71923622131345,501.26922901916504,3.88914139086159,1941.531155162351,6.026244474817759,0.0031038618457368216,ML_EXIT
GOOGL,2025-07-07,2025-07-15,179.14952755737303,182.71859255981445,18.229193392036898,3269.020404339736,58.461343193821904,0.017883443956548107,ML_EXIT
AAPL,2025-07-15,2025-07-16,209.32461122131346,210.19485305023196,5.483331608119386,1148.9452022693995,2.4703112433523984,0.002150068809611662,ML_EXIT
TSLA,2025-07-16,2025-07-17,312.9563877868652,322.98841889953616,3.6754772961611866,1151.4155135127519,34.533950474903804,0.029992604815221938,ML_EXIT
ARM,2025-07-10,2025-07-18,149.0745,158.42075,28.74649081879476,4289.658403970389,259.82819077580916,0.06057083485606205,ML_EXIT
AMZN,2025-07-17,2025-07-22,223.43166732788086,229.56515267944337,5.3025765268316,1185.9494639876557,30.12003919889662,0.025397405297204245,ML_EXIT
PLTR,2025-06-30,2025-07-24,137.85888828277587,153.9030057296753,7.395831957840605,1020.601773407539,116.50075400753599,0.1141490805160651,ML_EXIT
MSFT,2025-07-21,2025-07-24,506.96334645080566,508.51560401916504,8.899389076222329,4516.1802476971125,4.772485588146992,0.0010567526817780522,ML_EXIT
AMZN,2025-07-23,2025-07-29,228.58423622131346,234.03291889953616,5.3146859720770685,1216.0695031865523,26.49815642198314,0.02179000160151057,ML_EXIT
AAPL,2025-07-21,2025-07-30,212.20605610656736,208.39181792422704,0.15679590541623215,33.30634704908607,-0.6640382600950616,-0.019937288803134685,ATR_STOP
AMD,2025-07-15,2025-07-31,153.826875,181.92899427032472,28.041209729209704,4317.809473337263,778.598101736945,0.18032247753052463,ML_EXIT
QQQ,2025-07-31,2025-07-31,574.8272480163574,564.9503670853948,0.4889102319783973,281.3202434185996,-5.3864384056265635,-0.019146998950984262,ATR_STOP
NVDA,2025-07-24,2025-08-01,172.52622244262693,172.7118159411294,26.570732803525082,4588.736895019592,-4.246461149622519,-0.0009254095945730591,ATR_STOP
MSTR,2025-07-24,2025-08-01,414.78727656555174,381.3707747010378,2.5754142127024444,1069.3183656807423,-88.11283991982214,-0.08240094133586523,ATR_STOP
AMZN,2025-07-31,2025-08-01,235.88788927459714,217.10140171051026,20.53043895427185,4847.729640444599,-394.9997528148215,-0.08148139069459223,STOP_GAP
GLD,2025-07-29,2025-08-05,305.95288778686523,310.2148101196289,4.0572426066253255,1242.5676596085355,14.790468470184578,0.01190314938250062,ML_EXIT
QQQ,2025-08-01,2025-08-05,559.1094320983887,565.1073196411133,0.49303026452870047,275.93380501297304,2.4025912655001775,0.008707129107965656,ML_EXIT
ETH-USD,2025-08-03,2025-08-07,3394.4407569580076,3682.219980712891,1.359174584736968,4618.255862114755,381.51917126765966,0.08261109446044367,ML_EXIT
MSFT,2025-08-07,2025-08-11,527.0633877868652,522.0388377990723,0.1309744222775683,69.1009236426853,-0.7955621906857999,-0.01151304713088324,ML_EXIT
